"","Year","Population","years_before_present"
"1",1824,150066,199
"2",1830,213156,193
"3",1840,432159,183
"4",1851,952004,172
"5",1861,1396091,162
"6",1871,1620851,152
"7",1881,1926922,142
"8",1891,2114321,132
"9",1901,2182947,122
"10",1911,2527292,112
"11",1921,2933662,102
"12",1931,3431683,92
"13",1941,3787655,82
"14",1951,4597542,72
"15",1956,5404933,67
"16",1961,6236092,62
"17",1966,6960870,57
"18",1971,7703105,52
"19",1976,8264465,47
"20",1981,8625107,42
"21",1986,9101695,37
"22",1991,10084885,32
"23",1996,10753573,27
"24",2001,11410046,22
"25",2006,12160282,17
"26",2011,12851821,12
"27",2016,13448494,7
"28",2021,14223942,2
