sample,pop_id
1.2_1A2_sorted,47
1.2_1A7_sorted,18
1.2_1B1_sorted,19
1.2_1B4_sorted,21
1.2_1B5_sorted,17
1.2_1B7_sorted,7
1.2_1C11_sorted,7
1.2_1C2_sorted,49
1.2_1C4_sorted,17
1.2_1C7_sorted,7
1.2_1C9_sorted,47
1.2_1D1_sorted,6
1.2_1D5_sorted,36
1.2_1D9_sorted,6
1.2_1E10_sorted,49
1.2_1E1_sorted,49
1.2_1E4_sorted,7
1.2_1E5_sorted,36
1.2_1E7_sorted,19
1.2_1F1_sorted,46
1.2_1F3_sorted,46
1.2_1G1_sorted,6
1.2_1G4_sorted,21
1.2_1G7_sorted,7
1.2_1H4_sorted,9
1.2_1H6_sorted,17
1.2_2A11_sorted,18
1.2_2A3_sorted,35
1.2_2A5_sorted,8
1.2_2A7_sorted,21
1.2_2A8_sorted,5
1.2_2B1_sorted,35
1.2_2B5_sorted,6
1.2_2B6_sorted,49
1.2_2D10_sorted,49
1.2_2D4_sorted,47
1.2_2D6_sorted,6
1.2_2E10_sorted,5
1.2_2E11_sorted,47
1.2_2E5_sorted,21
1.2_2E7_sorted,35
1.2_2F11_sorted,5
1.2_2F4_sorted,47
1.2_2F6_sorted,19
1.2_2F7_sorted,46
1.2_2F8_sorted,17
1.2_2G2_sorted,5
1.2_2H6_sorted,21
1.2_2H7_sorted,19
3A_A2_sorted,36
3A_A3_sorted,8
3A_B3_sorted,8
3A_C2_sorted,18
3A_D2_sorted,18
3A_E2_sorted,5
3A_F1_sorted,9
3A_F2_sorted,36
3A_G1_sorted,46
3A_H1_sorted,46
3A_H2_sorted,35
