sample,population
1.2_1A10_sorted,67
1.2_1A11_sorted,79
1.2_1A1_sorted,40
1.2_1A3_sorted,2
1.2_1A4_sorted,12
1.2_1A5_sorted,13
1.2_1A8_sorted,30
1.2_1B10_sorted,28
1.2_1B11_sorted,13
1.2_1B3_sorted,30
1.2_1B6_sorted,51
1.2_1B8_sorted,56
1.2_1B9_sorted,57
1.2_1C10_sorted,27
1.2_1C1_sorted,30
1.2_1C2_sorted,49
1.2_1C3_sorted,77
1.2_1C5_sorted,39
1.2_1C8_sorted,12
1.2_1D11_sorted,79
1.2_1D2_sorted,77
1.2_1D3_sorted,72
1.2_1D6_sorted,62
1.2_1D7_sorted,62
1.2_1D8_sorted,57
1.2_1E10_sorted,49
1.2_1E1_sorted,49
1.2_1E2_sorted,79
1.2_1E3_sorted,56
1.2_1E8_sorted,16
1.2_1F10_sorted,39
1.2_1F2_sorted,12
1.2_1F5_sorted,61
1.2_1F7_sorted,68
1.2_1F8_sorted,29
1.2_1F9_sorted,77
1.2_1G10_sorted,77
1.2_1G2_sorted,14
1.2_1G5_sorted,2
1.2_1G6_sorted,42
1.2_1G8_sorted,67
1.2_1G9_sorted,27
1.2_1H1_sorted,31
1.2_1H2_sorted,15
1.2_1H3_sorted,40
1.2_1H5_sorted,12
1.2_1H7_sorted,67
1.2_1H8_sorted,11
1.2_1H9_sorted,64
1.2_2A1_sorted,77
1.2_2A2_sorted,69
1.2_2A6_sorted,62
1.2_2A9_sorted,31
1.2_2B10_sorted,69
1.2_2B11_sorted,14
1.2_2B2_sorted,72
1.2_2B3_sorted,64
1.2_2B4_sorted,68
1.2_2B6_sorted,49
1.2_2B7_sorted,74
1.2_2B8_sorted,39
1.2_2B9_sorted,40
1.2_2C11_sorted,11
1.2_2C1_sorted,15
1.2_2C2_sorted,12
1.2_2C3_sorted,2
1.2_2C4_sorted,31
1.2_2C5_sorted,14
1.2_2C7_sorted,29
1.2_2C8_sorted,41
1.2_2D10_sorted,49
1.2_2D11_sorted,74
1.2_2D1_sorted,57
1.2_2D2_sorted,72
1.2_2D5_sorted,28
1.2_2D7_sorted,13
1.2_2D8_sorted,31
1.2_2D9_sorted,29
1.2_2E1_sorted,62
1.2_2E2_sorted,30
1.2_2E3_sorted,61
1.2_2E4_sorted,72
1.2_2E6_sorted,27
1.2_2E8_sorted,68
1.2_2E9_sorted,39
1.2_2F10_sorted,39
1.2_2F1_sorted,79
1.2_2F2_sorted,31
1.2_2F3_sorted,68
1.2_2F5_sorted,42
1.2_2F9_sorted,2
1.2_2G10_sorted,64
1.2_2G1_sorted,56
1.2_2G3_sorted,74
1.2_2G4_sorted,41
1.2_2G5_sorted,14
1.2_2G6_sorted,57
1.2_2G7_sorted,40
1.2_2G9_sorted,79
1.2_2H1_sorted,62
1.2_2H2_sorted,57
1.2_2H4_sorted,67
1.2_2H5_sorted,72
1.2_2H8_sorted,14
1.2_2H9_sorted,68
3A_A11_sorted,MWI067
3A_A4_sorted,MWI007
3A_B11_sorted,MWI068
3A_B1_sorted,26
3A_B2_sorted,11
3A_B4_sorted,MWI008
3A_B7_sorted,MWI034
3A_C10_sorted,MWI059
3A_C11_sorted,MWI069
3A_C12_sorted,MWI077
3A_C1_sorted,61
3A_C3_sorted,51
3A_C4_sorted,MWI009
3A_C8_sorted,MWI043
3A_D1_sorted,15
3A_D3_sorted,11
3A_D4_sorted,MWI010
3A_D5_sorted,MWI019
3A_E12_sorted,MWI079
3A_E1_sorted,15
3A_E3_sorted,MWI001
3A_E4_sorted,MWI011
3A_E5_sorted,MWI020
3A_F11_sorted,MWI072
3A_F12_sorted,MWI080
3A_F3_sorted,MWI003
3A_F4_sorted,MWI014
3A_F5_sorted,MWI022
3A_F7_sorted,MWI038
3A_G12_sorted,UTSC
3A_G2_sorted,2
3A_G3_sorted,MWI004
3A_G5_sorted,MWI023
3A_G7_sorted,MWI039
3A_H10_sorted,MWI066
3A_H3_sorted,MWI005
