Geography,Canada
Q1 2008,"33,050,613"
Q2 2008,"33,127,520"
Q3 2008,"33,247,118"
Q4 2008,"33,372,418"
Q1 2009,"33,427,050"
Q2 2009,"33,511,275"
Q3 2009,"33,628,895"
Q4 2009,"33,757,077"
Q1 2010,"33,807,529"
Q2 2010,"33,889,236"
Q3 2010,"34,004,889"
Q4 2010,"34,131,683"
Q1 2011,"34,166,099"
Q2 2011,"34,230,378"
Q3 2011,"34,339,328"
Q4 2011,"34,457,998"
Q1 2012,"34,516,352"
Q2 2012,"34,592,779"
Q3 2012,"34,714,222"
Q4 2012,"34,836,008"
Q1 2013,"34,883,119"
Q2 2013,"34,958,216"
Q3 2013,"35,082,954"
Q4 2013,"35,211,866"
Q1 2014,"35,249,639"
Q2 2014,"35,323,533"
Q3 2014,"35,437,435"
Q4 2014,"35,559,047"
Q1 2015,"35,575,187"
Q2 2015,"35,611,271"
Q3 2015,"35,702,908"
Q4 2015,"35,822,894"
Q1 2016,"35,871,136"
Q2 2016,"35,970,303"
Q3 2016,"36,109,487"
Q4 2016,"36,258,726"
Q1 2017,"36,314,099"
Q2 2017,"36,398,013"
Q3 2017,"36,545,236"
Q4 2017,"36,721,223"
Q1 2018,"36,798,408"
Q2 2018,"36,898,431"
Q3 2018,"37,065,084"
Q4 2018,"37,250,385"
Q1 2019,"37,325,235"
Q2 2019,"37,422,946"
Q3 2019,"37,601,230"
Q4 2019,"37,810,038"
Q1 2020,"37,909,001"
Q2 2020,"37,986,182"
Q3 2020,"38,007,166"
Q4 2020,"38,007,048"
Q1 2021,"38,043,450"
Q2 2021,"38,124,373"
Q3 2021,"38,226,498"
Q4 2021,"38,426,473"
Q1 2022,"38,516,138"
Q2 2022,"38,644,920"
Q3 2022,"38,929,902"
Q4 2022,"39,292,355"
Q1 2023,"39,566,248"
Q2 2023,"39,858,480"
